Age,Income,City,Vehicle_Budget,Driving_Habits,Environmental_Concern,Will_Buy_EV
45.0,1483644.0,Mumbai,1215850,Medium,3,1
44.0,1711546.0,Pune,1373186,Low,4,1
64.0,1182364.0,Hyderabad,875644,High,5,0
60.0,827395.0,Mumbai,1630448,High,5,0
48.0,513673.0,Mumbai,1990566,Low,1,1
34.0,1696030.0,Delhi,783055,Medium,1,0
64.0,951938.0,Delhi,1131694,Medium,2,1
20.0,1415598.0,Pune,1850068,Medium,4,0
44.0,211009.0,Delhi,1612348,High,5,0
26.0,378168.0,Pune,1715788,Low,4,0
28.0,1923480.0,Bangalore,899345,High,3,0
43.0,1802245.0,Bangalore,928337,Medium,3,1
20.0,589913.0,Delhi,1767172,High,2,0
63.0,1575330.0,Bangalore,884141,Medium,5,1
27.0,1316698.0,Hyderabad,1770715,Low,5,1
43.0,530328.0,Hyderabad,1644778,Medium,2,1
30.0,633297.0,Hyderabad,1180848,Low,3,0
36.0,414709.0,Bangalore,1279898,High,5,0
27.0,1162816.0,Hyderabad,1544726,High,4,0
54.0,811516.0,Pune,1498618,High,5,1
54.0,1059375.0,Mumbai,1649611,Medium,3,0
52.0,1200294.0,Delhi,1777110,Low,5,0
24.0,1853634.0,Pune,1136539,High,5,0
61.0,1301302.0,Hyderabad,1148385,High,1,1
58.0,1664003.0,Mumbai,1062435,Low,5,1
60.0,1146984.0,Delhi,1719153,Medium,2,0
47.0,388210.0,Pune,1312883,High,2,1
26.0,945742.0,Delhi,349108,Medium,4,1
28.0,1553223.0,Bangalore,1905438,Medium,5,0
27.0,377265.0,Hyderabad,1072045,Medium,4,0
31.0,1769335.0,Pune,929575,High,3,0
53.0,1047790.0,Pune,1751649,High,3,1
52.0,1329433.0,Mumbai,1765305,Low,1,0
,1631177.0,Mumbai,1973298,Low,1,0
43.0,1139621.0,Mumbai,847881,Medium,5,0
56.0,1507981.0,Delhi,1698939,High,5,1
54.0,390128.0,Hyderabad,1712764,Medium,4,1
63.0,1890792.0,Delhi,1236388,Low,4,0
59.0,1831570.0,Hyderabad,621130,Medium,5,0
41.0,1593526.0,Pune,1077499,Medium,5,1
46.0,779294.0,Delhi,960667,High,1,1
54.0,1860102.0,Delhi,1191503,Medium,1,0
20.0,448018.0,Delhi,656858,Medium,1,1
54.0,1711710.0,Bangalore,753764,High,5,0
56.0,1967091.0,Hyderabad,706798,High,4,1
33.0,1184825.0,Hyderabad,620109,Low,2,0
22.0,1032230.0,Delhi,1063807,High,2,0
20.0,1325847.0,Bangalore,539027,Medium,4,0
24.0,1016609.0,Delhi,963385,Low,4,0
45.0,1738040.0,Hyderabad,737160,Low,4,0
33.0,590166.0,Pune,492259,Low,1,0
58.0,,Bangalore,1433300,Low,3,0
46.0,1592935.0,Bangalore,1880468,Medium,5,1
28.0,1291589.0,Delhi,536515,Medium,1,1
34.0,1855464.0,Pune,1856307,Medium,2,0
34.0,1606819.0,Hyderabad,720506,Medium,5,1
45.0,1564170.0,Mumbai,799348,Low,4,1
61.0,1689720.0,Hyderabad,502811,Medium,2,0
32.0,584784.0,Hyderabad,1094303,Low,4,0
51.0,4315340.0,Pune,1035558,High,4,0
58.0,638598.0,Bangalore,402318,Medium,4,0
51.0,823578.0,Hyderabad,901269,High,5,1
23.0,1464686.0,Bangalore,411376,High,2,0
49.0,1380408.0,Pune,673502,Medium,2,0
56.0,1272718.0,Pune,434577,Low,4,1
42.0,572333.0,Delhi,734694,High,1,0
58.0,1093964.0,Mumbai,1957469,Medium,3,0
64.0,1134794.0,Pune,1709289,High,1,1
34.0,1188539.0,Pune,1620218,High,5,1
62.0,331436.0,Bangalore,1068396,Medium,3,0
48.0,1043353.0,Pune,1666977,High,1,0
55.0,481941.0,Hyderabad,487130,Low,2,1
32.0,1485979.0,Delhi,1435571,Low,1,1
51.0,1805399.0,Delhi,917854,High,4,1
26.0,508444.0,Hyderabad,1464074,High,5,0
41.0,216105.0,Pune,910884,Medium,1,0
47.0,863299.0,Mumbai,516382,Low,1,1
21.0,803760.0,Pune,609061,High,3,0
61.0,897389.0,Delhi,792130,Low,4,0
64.0,1919799.0,Mumbai,425154,High,3,0
25.0,278097.0,Bangalore,1631650,Medium,5,0
47.0,461674.0,Bangalore,903317,Medium,5,0
47.0,341519.0,Pune,796547,Low,4,0
63.0,1869024.0,Pune,1624358,Low,3,1
63.0,246940.0,Mumbai,1616444,High,4,1
39.0,933307.0,Mumbai,1347182,High,3,0
49.0,285001.0,Pune,365738,High,2,0
30.0,1923578.0,Delhi,1447281,Low,4,1
47.0,952158.0,Bangalore,433099,Medium,5,1
44.0,951259.0,Mumbai,1494455,Medium,3,0
58.0,1447291.0,Delhi,1442538,Low,2,0
52.0,1256504.0,Pune,363109,Medium,5,0
20.0,1820866.0,Hyderabad,1914713,Low,3,0
46.0,546997.0,Mumbai,562322,High,2,0
32.0,838902.0,Hyderabad,1354393,Low,5,0
60.0,317517.0,Delhi,793499,Medium,5,0
22.0,1404665.0,Bangalore,897009,Low,2,1
58.0,1327640.0,Delhi,950050,Low,5,0
25.0,1655105.0,Bangalore,828272,Low,3,0
27.0,594775.0,Delhi,1674816,Low,3,0
46.0,,Mumbai,1173373,Medium,5,1
28.0,1525887.0,Mumbai,1862002,High,1,0
56.0,762886.0,Hyderabad,1293276,Medium,2,1
52.0,1387171.0,Delhi,532359,Medium,1,0
61.0,1036209.0,Delhi,1029438,High,3,0
63.0,621655.0,Hyderabad,1320090,Medium,5,0
43.0,1627098.0,Pune,934202,High,4,0
34.0,1329636.0,Delhi,724558,High,4,0
51.0,999717.0,Delhi,1983190,Low,1,0
51.0,1652765.0,Delhi,1739814,Medium,1,0
43.0,585114.0,Pune,1356564,High,1,1
60.0,746982.0,Mumbai,1342351,Medium,3,0
31.0,1121806.0,Hyderabad,1380646,Medium,3,0
58.0,1509977.0,Pune,1446067,High,5,0
21.0,971136.0,Bangalore,323659,Low,3,1
22.0,,Bangalore,900240,High,5,0
56.0,991043.0,Pune,1607050,Low,5,0
36.0,1782236.0,Pune,1140210,High,1,0
21.0,1403960.0,Mumbai,398113,High,4,0
21.0,1393728.0,Bangalore,748929,Low,1,1
47.0,1067050.0,Hyderabad,1371312,Low,3,1
42.0,837233.0,Delhi,1328311,Medium,2,1
56.0,1094829.0,Delhi,1025704,High,3,0
51.0,820501.0,Mumbai,1190624,Medium,4,0
52.0,220874.0,Mumbai,1550921,Medium,3,0
20.0,1704329.0,Bangalore,1545147,Low,4,0
38.0,1977850.0,Hyderabad,1645846,Low,2,1
21.0,594813.0,Hyderabad,951022,Medium,2,1
63.0,2943552.0,Pune,1602910,Low,5,0
45.0,1121251.0,Mumbai,1116084,High,3,0
51.0,1065847.0,Delhi,829678,Low,5,0
25.0,671769.0,Delhi,1938806,Low,1,1
51.0,880175.0,Bangalore,877780,High,1,0
23.0,939860.0,Delhi,742433,Low,1,1
30.0,818636.0,Hyderabad,1539981,Medium,1,1
36.0,305736.0,Hyderabad,1722193,Medium,1,1
57.0,612106.0,Mumbai,1432680,Medium,3,0
43.0,655040.0,Bangalore,1948833,Low,5,1
24.0,335797.0,Delhi,1214065,Low,5,1
53.0,636421.0,Mumbai,1306224,Low,4,0
25.0,1924620.0,Pune,1276360,Medium,1,0
41.0,685077.0,Pune,1733159,Low,2,0
30.0,1175415.0,Delhi,1921345,High,4,0
35.0,1215582.0,Delhi,1554305,Low,4,0
52.0,835861.0,Delhi,1901476,Medium,3,1
28.0,475236.0,Hyderabad,387743,High,4,1
25.0,558062.0,Delhi,579708,High,2,1
35.0,1157274.0,Pune,1607581,Medium,5,1
48.0,225457.0,Delhi,1921467,High,4,0
22.0,1058099.0,Bangalore,1808429,High,3,0
39.0,1601471.0,Pune,1020375,High,1,0
55.0,262894.0,Bangalore,573468,High,2,1
38.0,,Pune,1888355,High,1,0
45.0,1916548.0,Mumbai,641373,Low,4,1
22.0,958201.0,Pune,1561107,Medium,5,1
38.0,409699.0,Pune,1383176,Medium,3,0
39.0,1218143.0,Bangalore,1937043,Low,2,1
51.0,200559.0,Bangalore,558590,Low,5,0
26.0,237361.0,Pune,1342841,Medium,2,1
60.0,1067152.0,Pune,1866874,Medium,3,1
52.0,1001693.0,Hyderabad,1522706,Low,3,1
59.0,1566075.0,Mumbai,430047,Low,4,1
58.0,560704.0,Mumbai,1290177,High,2,0
37.0,1961856.0,Delhi,835646,Low,4,0
59.0,443950.0,Pune,1419919,Low,2,1
20.0,1674336.0,Pune,545258,High,2,0
30.0,800148.0,Pune,1899367,High,1,0
47.0,898392.0,Pune,1297899,Medium,4,1
44.0,,Mumbai,1400844,Medium,2,0
42.0,503564.0,Bangalore,1134337,Low,2,1
50.0,1756026.0,Hyderabad,1149100,High,3,1
49.0,821531.0,Bangalore,453306,High,1,1
61.0,853668.0,Bangalore,507687,Medium,3,1
54.0,1507006.0,Mumbai,763095,Medium,4,1
26.0,758888.0,Hyderabad,763380,Low,4,0
35.0,903645.0,Pune,388104,High,2,0
45.0,917368.0,Mumbai,1638826,Medium,5,0
21.0,1505927.0,Mumbai,1029877,Low,3,1
20.0,724720.0,Hyderabad,1317108,Low,4,0
31.0,985838.0,Delhi,793467,Low,2,1
24.0,793975.0,Mumbai,1931302,Medium,2,0
56.0,968576.0,Bangalore,610541,Medium,3,1
51.0,1058379.0,Bangalore,1005870,Medium,2,1
28.0,1082756.0,Pune,1778216,Medium,1,1
60.0,1733951.0,Mumbai,1266963,Medium,5,0
54.0,385221.0,Pune,1317258,High,3,0
38.0,943000.0,Mumbai,613419,High,3,0
35.0,1436416.0,Hyderabad,1926898,High,3,0
22.0,653400.0,Mumbai,971377,High,2,0
39.0,1052224.0,Delhi,379372,Low,2,0
43.0,1982332.0,Bangalore,1428298,Low,3,0
52.0,1412905.0,Hyderabad,1907296,High,3,1
43.0,1222697.0,Bangalore,1764549,Medium,1,1
30.0,1424322.0,Pune,1657908,High,4,0
27.0,1561968.0,Hyderabad,855404,High,1,1
55.0,1725394.0,Delhi,1778508,Low,3,0
57.0,,Bangalore,620882,Medium,2,0
59.0,1709788.0,Mumbai,1106888,Low,2,0
39.0,1941233.0,Mumbai,434706,Medium,3,1
54.0,1171777.0,Mumbai,1922230,Low,4,0
44.0,1703048.0,Hyderabad,689078,High,5,1
54.0,759031.0,Delhi,1369432,Medium,5,0
44.0,399824.0,Delhi,1023355,Low,1,1
48.0,804091.0,Delhi,1057370,High,4,0
37.0,1449699.0,Bangalore,1838847,Low,5,1
37.0,222076.0,Hyderabad,1933479,Low,4,1
21.0,441424.0,Mumbai,645270,Low,2,1
54.0,406384.0,Bangalore,1422713,High,2,1
35.0,450699.0,Delhi,1155437,Medium,4,0
60.0,1073915.0,Mumbai,1242295,Low,3,1
55.0,858323.0,Hyderabad,824636,High,5,1
52.0,1629937.0,Pune,1909283,Low,5,0
23.0,344938.0,Delhi,1744670,Medium,2,1
52.0,1090936.0,Delhi,1098289,Low,1,0
33.0,363377.0,Delhi,403053,High,5,0
40.0,1179907.0,Delhi,475101,Low,2,1
39.0,413968.0,Mumbai,779130,Low,2,0
27.0,588388.0,Hyderabad,1545186,Medium,4,0
26.0,494957.0,Bangalore,546877,Medium,4,0
22.0,1178190.0,Mumbai,1636378,Medium,4,1
36.0,990944.0,Hyderabad,673142,Low,1,1
52.0,450703.0,Bangalore,642033,High,5,0
31.0,,Delhi,485070,Low,1,1
41.0,,Hyderabad,1588039,Low,1,0
41.0,317907.0,Delhi,425513,Low,4,1
49.0,405591.0,Hyderabad,1820503,Low,2,0
57.0,593852.0,Pune,744747,Medium,3,0
57.0,1185461.0,Delhi,948180,Medium,2,0
64.0,1837455.0,Delhi,615560,Medium,2,0
27.0,723869.0,Delhi,1597159,Medium,2,1
46.0,1458209.0,Mumbai,1247871,High,2,1
46.0,1716608.0,Bangalore,448304,Low,1,0
53.0,997783.0,Delhi,883336,Low,4,1
40.0,1893397.0,Delhi,1320844,Low,4,0
49.0,827915.0,Mumbai,1922221,High,2,1
52.0,1696976.0,Mumbai,497128,High,3,1
47.0,1376957.0,Pune,549336,Medium,5,0
52.0,1606427.0,Hyderabad,845785,Low,2,1
24.0,1186684.0,Delhi,1200441,Low,2,1
38.0,1592398.0,Hyderabad,785679,High,3,0
23.0,797597.0,Mumbai,1354834,Low,1,0
54.0,1997938.0,Mumbai,618103,High,2,1
36.0,867861.0,Pune,859190,Medium,3,0
63.0,1099145.0,Bangalore,1888318,High,1,1
47.0,1736697.0,Mumbai,337606,Low,1,0
49.0,236382.0,Delhi,1793419,High,2,1
48.0,946714.0,Pune,1665689,High,1,1
25.0,1062219.0,Bangalore,386465,Medium,2,1
54.0,1271917.0,Pune,782929,Low,2,0
60.0,1918303.0,Mumbai,1218289,Low,4,0
56.0,1474856.0,Bangalore,1684399,Medium,5,0
43.0,1903930.0,Hyderabad,1438204,High,5,0
48.0,1449516.0,Bangalore,680929,High,4,1
50.0,605218.0,Delhi,313635,Low,2,1
54.0,810108.0,Hyderabad,1949382,High,3,0
52.0,1308525.0,Hyderabad,1361985,Medium,1,1
40.0,608916.0,Delhi,1528404,Low,4,1
51.0,934665.0,Hyderabad,318541,High,4,1
42.0,,Mumbai,1406598,Medium,4,1
52.0,,Bangalore,369064,Medium,4,0
22.0,1190003.0,Bangalore,467399,Low,5,0
37.0,712472.0,Delhi,1569702,Low,2,1
44.0,1977310.0,Mumbai,1373522,High,4,1
61.0,527370.0,Hyderabad,1970480,High,4,0
50.0,1031599.0,Bangalore,1478198,High,4,0
22.0,1457427.0,Bangalore,1242060,Medium,3,1
59.0,1407587.0,Bangalore,799658,Medium,3,1
43.0,654581.0,Bangalore,665589,High,1,0
51.0,267381.0,Pune,1201841,Low,2,0
41.0,1033142.0,Delhi,677755,Medium,4,1
42.0,478910.0,Hyderabad,846063,Medium,1,1
21.0,302416.0,Hyderabad,1569225,High,1,0
46.0,1785644.0,Delhi,1218339,Low,2,1
61.0,,Mumbai,1793437,Medium,3,1
21.0,1042653.0,Delhi,728963,Low,2,1
45.0,1760290.0,Bangalore,998645,Medium,1,0
36.0,1750184.0,Bangalore,1262388,Low,2,1
59.0,551637.0,Delhi,1854663,Low,3,1
52.0,1228212.0,Delhi,1757896,Medium,1,0
28.0,627562.0,Hyderabad,314927,Low,2,0
62.0,1103282.0,Hyderabad,1484169,Medium,4,0
58.0,377946.0,Pune,606230,Medium,4,0
48.0,1143652.0,Pune,1493928,Low,2,0
61.0,,Bangalore,363266,Medium,2,1
45.0,1094576.0,Pune,1330584,Low,3,0
54.0,1633122.0,Pune,1510401,Medium,1,1
44.0,1064899.0,Mumbai,482600,Low,2,1
43.0,463503.0,Delhi,1855276,Medium,1,0
32.0,319119.0,Hyderabad,1791397,Medium,4,0
26.0,421140.0,Pune,1286499,High,1,1
55.0,1531064.0,Hyderabad,919259,Medium,5,1
64.0,1104931.0,Pune,1507725,Medium,3,0
39.0,531922.0,Pune,549307,Low,3,1
20.0,482745.0,Bangalore,1022044,Low,1,1
27.0,1494416.0,Mumbai,1779137,Low,3,1
35.0,1960921.0,Delhi,713218,Low,1,0
,1611733.0,Delhi,1279524,High,1,0
,1760121.0,Bangalore,610584,High,4,1
42.0,1541502.0,Bangalore,1256902,Low,1,0
34.0,1883959.0,Delhi,1539164,Low,3,1
,643035.0,Delhi,895754,Low,5,0
53.0,1201920.0,Mumbai,1343090,Low,2,0
21.0,559267.0,Pune,1165356,Medium,3,0
51.0,1110657.0,Mumbai,421411,Low,5,0
42.0,863440.0,Delhi,1926829,Medium,3,0
41.0,1206247.0,Pune,843979,Low,5,1
44.0,889317.0,Delhi,843489,High,3,0
41.0,1655700.0,Mumbai,1618141,High,2,0
41.0,558332.0,Mumbai,929639,Low,4,0
61.0,951240.0,Mumbai,1231058,High,4,0
25.0,321292.0,Pune,752044,High,2,1
34.0,290570.0,Hyderabad,750836,High,3,1
62.0,684540.0,Hyderabad,633268,High,5,1
56.0,1195791.0,Delhi,913595,Medium,1,1
52.0,323791.0,Pune,1177792,Medium,3,0
,1164986.0,Bangalore,544636,Medium,2,0
63.0,1741121.0,Hyderabad,1947716,Medium,4,0
63.0,715689.0,Pune,1146677,Low,4,0
24.0,1084807.0,Pune,1194585,High,3,1
58.0,1811178.0,Hyderabad,1587897,High,5,0
,956349.0,Pune,345562,Low,2,0
25.0,930281.0,Pune,459306,Low,2,0
64.0,1725560.0,Hyderabad,1696042,Medium,5,0
51.0,1619600.0,Mumbai,533708,Medium,5,0
49.0,562470.0,Delhi,1757121,High,3,0
54.0,346903.0,Bangalore,708914,Low,3,0
59.0,245708.0,Delhi,1570511,High,4,0
35.0,1613126.0,Mumbai,1627268,Low,4,0
32.0,1724616.0,Mumbai,555644,Medium,5,0
61.0,1415442.0,Pune,889522,High,1,0
,1570092.0,Delhi,1366916,High,1,1
38.0,1812341.0,Mumbai,893684,Low,1,1
36.0,683157.0,Delhi,1507513,High,2,1
38.0,1418385.0,Mumbai,531144,Medium,3,0
47.0,333692.0,Bangalore,1015127,High,5,1
45.0,694166.0,Mumbai,502834,Low,4,1
56.0,958529.0,Delhi,902542,High,1,0
45.0,1414705.0,Pune,934480,Medium,4,1
42.0,1157642.0,Delhi,1060285,Low,3,0
28.0,934750.0,Hyderabad,1267438,Low,5,0
31.0,253024.0,Delhi,1475234,Medium,1,1
20.0,1651469.0,Bangalore,1609040,Low,1,0
20.0,1423759.0,Bangalore,488044,Low,5,1
53.0,1403722.0,Bangalore,1636250,High,4,0
51.0,742112.0,Mumbai,1538984,Low,3,1
44.0,718534.0,Bangalore,883291,High,3,0
59.0,248926.0,Delhi,1201839,Medium,3,1
64.0,1416508.0,Pune,1415762,Medium,4,1
20.0,475119.0,Bangalore,1389229,Medium,4,0
35.0,1061309.0,Delhi,692647,Medium,1,0
58.0,1997613.0,Mumbai,1073621,Low,4,0
24.0,1854235.0,Mumbai,1606002,Low,2,1
41.0,881908.0,Pune,1526680,High,5,0
48.0,563114.0,Pune,877823,High,4,0
22.0,683791.0,Delhi,1193270,High,3,0
31.0,1870930.0,Pune,1698993,Low,4,0
45.0,894096.0,Pune,556653,High,1,0
35.0,261562.0,Mumbai,1761296,Low,5,1
56.0,1551129.0,Delhi,1923839,Medium,5,1
41.0,996266.0,Pune,517418,Low,3,1
48.0,1875056.0,Delhi,1115468,Medium,5,1
33.0,725128.0,Bangalore,1856490,High,2,1
,934769.0,Mumbai,1691803,Low,5,0
24.0,231568.0,Mumbai,878044,High,3,0
49.0,997278.0,Mumbai,917027,High,5,0
24.0,861259.0,Hyderabad,1210780,Medium,4,0
31.0,810326.0,Delhi,571449,High,1,0
35.0,1445749.0,Bangalore,767565,Low,4,1
45.0,1156277.0,Pune,628580,High,2,1
45.0,329789.0,Bangalore,565891,Medium,2,1
40.0,1618180.0,Delhi,476096,Medium,1,0
58.0,701994.0,Mumbai,1005983,High,1,0
55.0,274723.0,Hyderabad,1633965,Medium,1,1
52.0,963043.0,Delhi,800038,High,1,0
49.0,566338.0,Delhi,758825,Medium,5,0
56.0,1121815.0,Pune,414938,High,4,1
42.0,1829752.0,Bangalore,1547681,High,2,0
29.0,907494.0,Bangalore,1771369,Low,5,1
24.0,1733017.0,Pune,752962,Low,1,0
55.0,992515.0,Hyderabad,1828340,High,3,1
,1916534.0,Mumbai,439559,Low,3,0
50.0,1593196.0,Mumbai,1266953,Low,4,0
29.0,1235211.0,Hyderabad,1181991,Medium,2,0
38.0,292416.0,Pune,1045773,Low,2,0
51.0,847122.0,Delhi,869855,Medium,4,0
20.0,1885012.0,Bangalore,1544497,Low,1,1
24.0,1961331.0,Delhi,1603112,Low,1,1
,995818.0,Bangalore,503125,High,2,0
23.0,515315.0,Delhi,1065480,Low,2,0
35.0,1402376.0,Pune,1608803,High,2,0
43.0,920892.0,Pune,1464898,High,1,0
35.0,684976.0,Hyderabad,1469293,High,3,1
21.0,1282121.0,Delhi,1324052,High,4,0
47.0,385151.0,Delhi,960975,Low,4,1
51.0,235790.0,Hyderabad,1948868,High,5,0
46.0,775300.0,Hyderabad,1097311,Low,5,1
39.0,317827.0,Pune,1183923,Low,3,1
43.0,1229625.0,Pune,483068,Medium,2,0
31.0,1508699.0,Delhi,706294,Medium,3,0
54.0,1262836.0,Pune,828878,Medium,5,0
52.0,396211.0,Pune,1009460,High,5,0
52.0,635892.0,Delhi,1621630,Low,4,0
62.0,340547.0,Hyderabad,1327935,Low,3,0
56.0,1458062.0,Delhi,1511624,High,1,0
31.0,346192.0,Mumbai,1632294,Medium,5,0
22.0,1664939.0,Delhi,781468,Medium,4,0
20.0,,Mumbai,333430,Low,2,1
52.0,887790.0,Delhi,1400815,Low,3,0
59.0,962857.0,Mumbai,1140345,Low,5,0
29.0,1304055.0,Mumbai,1185404,Medium,1,0
62.0,1724758.0,Delhi,655420,Low,5,1
63.0,592977.0,Pune,702693,Medium,1,0
48.0,1512896.0,Bangalore,1925636,Medium,3,1
32.0,808546.0,Pune,1414272,Medium,1,0
31.0,1487999.0,Mumbai,475277,High,1,0
50.0,577332.0,Delhi,1804168,High,4,0
21.0,284153.0,Delhi,513009,Low,3,0
54.0,1965854.0,Delhi,1711557,Medium,5,0
42.0,983930.0,Delhi,1764686,Low,2,0
36.0,620331.0,Bangalore,490991,Medium,3,1
45.0,958272.0,Hyderabad,804679,Low,3,0
27.0,1326018.0,Mumbai,1845650,Low,2,0
48.0,1305700.0,Bangalore,1200004,High,5,1
45.0,511896.0,Pune,1064173,High,4,1
29.0,1508064.0,Hyderabad,1460259,High,5,1
45.0,1115788.0,Hyderabad,1636349,High,2,1
53.0,1061148.0,Delhi,1889563,Medium,5,1
60.0,641209.0,Bangalore,1198868,Low,3,0
26.0,296496.0,Pune,1137795,Low,4,0
23.0,1975373.0,Delhi,1093501,Medium,1,1
64.0,1025329.0,Delhi,1979679,Medium,5,0
30.0,1168410.0,Mumbai,1271789,Low,1,0
48.0,513760.0,Hyderabad,404726,High,4,1
55.0,1510613.0,Pune,1156495,High,1,0
44.0,701935.0,Hyderabad,581243,High,5,1
40.0,570134.0,Bangalore,1888486,Medium,2,1
55.0,1470612.0,Mumbai,1768073,Low,3,0
29.0,1714728.0,Delhi,601577,Medium,3,1
56.0,,Mumbai,339875,Low,1,1
28.0,1240835.0,Delhi,1560715,High,3,0
43.0,535076.0,Mumbai,1215813,High,3,1
54.0,469482.0,Delhi,960492,High,2,0
54.0,1422366.0,Hyderabad,919220,Low,1,1
55.0,1392148.0,Hyderabad,474311,High,2,0
37.0,342617.0,Hyderabad,885179,Low,2,1
58.0,785768.0,Hyderabad,669110,Medium,4,1
51.0,860601.0,Mumbai,655487,High,1,0
43.0,1468962.0,Delhi,1912414,Medium,2,0
42.0,1140325.0,Hyderabad,1990159,Medium,5,0
51.0,204695.0,Mumbai,1073380,Low,3,1
56.0,932426.0,Delhi,1637916,Medium,1,0
31.0,1230120.0,Mumbai,512601,Low,4,1
32.0,1234780.0,Hyderabad,1140281,Low,2,1
42.0,7148728.0,Bangalore,1571142,Medium,5,0
44.0,1037366.0,Mumbai,1388089,Low,3,0
54.0,1664123.0,Hyderabad,535010,Low,3,1
60.0,1632002.0,Pune,541943,Low,5,1
49.0,1956608.0,Delhi,470100,Medium,1,0
36.0,1340467.0,Hyderabad,642625,Low,3,0
39.0,670076.0,Pune,1300609,High,3,1
44.0,3796180.0,Mumbai,388915,Medium,3,0
41.0,1317330.0,Mumbai,1211222,Medium,2,1
32.0,1072109.0,Pune,338877,Low,2,1
